name,hiredate,08depcode,08job,eightsal,eightOT,eightcals,eightTotal,09depcode,09job,ninesal,nineOT,ninecals,nineTotal,10depcode,10job,tensal,tenOT,tencals,tenTotal,11depcode,11job,elevensal,elevenOT,elevencals,elevenTotal,12depcode,12job,twelvesal,twelveOT,twelvecals,twelveTotal,13depcode,13job,thirteensal,thirteenOT,thirteencals,thirteenTotal
p19,1/16/1978,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,Police Officer                                    ,58466.02,604.34,604.34,59070.36,1,N/A,0,0,NaN,0
p20,2/1/1978,1,Operations Officer II                             ,42768.47,919.72,919.72,43688.19,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,Operations Officer II                             ,44275.86,207.54,207.54,44483.4,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p21,2/8/1978,1,Support Technician                                ,36634.51,312.57,312.57,36947.08,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p22,3/1/1978,1,Office Assistant                                  ,29979.5,7311.17,7311.17,37290.67,1,Office Assistant                                  ,30279.3,6135.92,6135.92,36415.22,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p23,5/1/1978,1,Police Sergeant                                   ,73820.81,390.4,390.4,74211.21,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,Police Sergeant                                   ,74559.02,17.92,17.92,74576.94,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p24,8/21/1978,1,Police Sergeant                                   ,73820.81,11756.26,11756.26,85577.07,1,Police Sergeant                                   ,74559.02,5441.16,5441.16,80000.18,1,Police Sergeant                                   ,74559.02,999.19,999.19,75558.21,1,Police Sergeant                                   ,74559.02,5394.73,5394.73,79953.75,1,Police Sergeant                                   ,74559.02,7061.57,7061.57,81620.59,1,Police Sergeant                                   ,76830.07,4698.26,4698.26,81528.33
p25,10/30/1978,1,Police Officer                                    ,57887.15,8745.94,8745.94,66633.09,1,Police Officer                                    ,58466.02,10027.56,10027.56,68493.58,1,Police Officer                                    ,58466.02,15279,15279,73745.02,1,Police Officer                                    ,58466.02,11550.31,11550.31,70016.33,1,Police Officer                                    ,58466.02,10214.73,10214.73,68680.75,1,Police Officer                                    ,59637.6,9285.13,9285.13,68922.73
p26,11/6/1978,1,Police Officer                                    ,57887.15,3930.33,3930.33,61817.48,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p27,11/27/1978,1,Police Officer                                    ,57887.15,2414.29,2414.29,60301.44,1,Police Officer                                    ,58466.02,1475.7,1475.7,59941.72,1,Police Officer                                    ,58466.02,667.57,667.57,59133.59,1,Police Officer                                    ,58466.02,203.79,203.79,58669.81,1,Police Officer                                    ,58466.02,295.14,295.14,58761.16,1,Police Officer                                    ,59752.28,86.01,86.01,59838.29
p28,4/5/1979,1,Administrative Assistant I                        ,45151.9,2965.54,2965.54,48117.44,1,Administrative Assistant I                        ,46743.11,674.18,674.18,47417.29,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p29,4/30/1979,1,Support Technician                                ,36634.51,10358.51,10358.51,46993.02,1,Support Technician                                ,37000.86,5089.85,5089.85,42090.71,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p30,6/5/1979,1,Police Lieutenant                                 ,80576.02,188.85,188.85,80764.87,1,Police Lieutenant                                 ,81381.78,58.69,58.69,81440.47,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p31,10/16/1979,1,Support Technician                                ,36634.51,26882.26,26882.26,63516.77,1,Support Technician                                ,37925.53,16799.8,16799.8,54725.33,1,Support Technician                                ,37925.53,41.03,41.03,37966.56,1,N/A,0,0,NaN,0,1,Support Technician                                ,37925.53,834.18,834.18,38759.71,1,Support Technician                                ,38685.6,74.39,74.39,38759.99
p32,10/25/1979,1,Operations Officer I                              ,36634.51,145.31,145.31,36779.82,1,Operations Officer I                              ,37925.53,287.18,287.18,38212.71,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,Operations Officer I                              ,37925.53,123.08,123.08,38048.61,1,Operations Officer I                              ,39429.51,83.69,83.69,39513.2
p33,11/5/1979,1,Police Sergeant                                   ,68621.82,28542.85,28542.85,97164.67,1,Police Sergeant                                   ,71015.15,32037.9,32037.9,103053.05,1,Police Lieutenant                                 ,77508.09,69.87,69.87,77577.96,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p34,11/14/1979,1,Custodian                                         ,27861.64,408.55,408.55,28270.19,1,Custodian                                         ,28140.26,243.52,243.52,28383.78,1,Custodian                                         ,28140.26,40.59,40.59,28180.85,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p35,12/31/1979,1,Police Officer                                    ,57887.15,7987.06,7987.06,65874.21,1,Police Officer                                    ,58466.02,6646.59,6646.59,65112.61,1,Police Officer                                    ,58466.02,239.44,239.44,58705.46,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p36,1/4/1980,1,Police Officer                                    ,57887.15,23977.33,23977.33,81864.48,1,Police Officer                                    ,58466.02,15543.39,15543.39,74009.41,1,Police Sergeant                                   ,62884.49,14440.66,14440.66,77325.15,1,Police Sergeant                                   ,62884.49,6300.07,6300.07,69184.56,1,Police Sergeant                                   ,62884.49,11069.89,11069.89,73954.38,1,Police Sergeant                                   ,65015.69,9320.7,9320.7,74336.39
p37,3/4/1980,1,Police Officer                                    ,57887.15,6720.99,6720.99,64608.14,1,Police Officer                                    ,58466.02,84.32,84.32,58550.34,1,N/A,0,0,NaN,0,1,Police Officer                                    ,58466.02,358.39,358.39,58824.41,1,Police Officer                                    ,58466.02,252.97,252.97,58718.99,1,N/A,0,0,NaN,0
p38,6/17/1980,1,Police Officer                                    ,57887.15,9017.02,9017.02,66904.17,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p39,7/28/1980,1,Operations Officer II                             ,42768.47,4765.19,4765.19,47533.66,1,Operations Officer II                             ,44275.86,1740.17,1740.17,46016.03,1,Operations Officer II                             ,44275.86,271.4,271.4,44547.26,1,Operations Officer II                             ,44275.86,111.75,111.75,44387.61,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p40,9/4/1980,1,Operations Officer II                             ,41725.23,3510.43,3510.43,45235.66,1,Operations Officer II                             ,43196.15,3136.12,3136.12,46332.27,1,Operations Officer II                             ,44275.86,494.91,494.91,44770.77,1,Operations Officer II                             ,44275.86,303.33,303.33,44579.19,1,Operations Officer II                             ,44275.86,159.64,159.64,44435.5,1,N/A,0,0,NaN,0
p41,9/15/1980,1,Police Officer                                    ,57887.15,33904.89,33904.89,91792.04,1,Police Officer                                    ,58466.02,25489.59,25489.59,83955.61,1,Police Officer                                    ,58466.02,7313.69,7313.69,65779.71,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p42,10/3/1980,1,Police Officer                                    ,57887.15,2641.52,2641.52,60528.67,1,Police Officer                                    ,58466.02,2704.54,2704.54,61170.56,1,Police Officer                                    ,58466.02,1001.37,1001.37,59467.39,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p43,10/8/1980,1,Police Officer                                    ,57887.15,3935.1,3935.1,61822.25,1,Police Officer                                    ,58466.02,3875.27,3875.27,62341.29,1,Police Officer                                    ,58466.02,3831.04,3831.04,62297.06,1,Police Officer                                    ,58466.02,4476.25,4476.25,62942.27,1,Police Officer                                    ,58466.02,11481.1,11481.1,69947.12,1,Police Officer                                    ,59981.64,9173.74,9173.74,69155.38
p44,12/1/1980,1,Police Officer                                    ,57887.15,41.75,41.75,57928.9,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p45,12/22/1980,1,Police Officer                                    ,57887.15,41.75,41.75,57928.9,1,Police Officer                                    ,58466.02,168.65,168.65,58634.67,1,Police Officer                                    ,58466.02,245.94,245.94,58711.96,1,Police Officer                                    ,58466.02,386.49,386.49,58852.51,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p46,1/20/1981,1,Police Sergeant                                   ,66972.16,7726.71,7726.71,74698.87,1,Police Sergeant                                   ,69308.04,8695,8695,78003.04,1,Police Sergeant                                   ,71015.15,9263.85,9263.85,80279,1,Police Sergeant                                   ,71015.15,4078.33,4078.33,75093.48,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p47,3/30/1981,1,Police Officer                                    ,57887.15,8661.54,8661.54,66548.69,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p48,6/16/1981,1,Police Sergeant                                   ,68621.82,2121.18,2121.18,70743,1,Police Sergeant                                   ,71015.15,7179.31,7179.31,78194.46,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p49,9/2/1981,1,Police Lieutenant                                 ,80576.02,1380.08,1380.08,81956.1,1,Police Lieutenant                                 ,81381.78,924.35,924.35,82306.13,1,Police Lieutenant                                 ,81381.78,425.49,425.49,81807.27,1,Police Lieutenant                                 ,81381.78,425.5,425.5,81807.28,1,Police Lieutenant                                 ,81381.78,264.1,264.1,81645.88,1,Police Lieutenant                                 ,83009.52,89.79,89.79,83099.31
p50,9/21/1981,1,Support Technician                                ,33189.9,4630.5,4630.5,37820.4,1,Support Technician                                ,34359.31,1585.82,1585.82,35945.13,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p51,10/19/1981,1,Police Sergeant                                   ,70312.03,6092.49,6092.49,76404.52,1,Police Sergeant                                   ,72765.47,2792.37,2792.37,75557.84,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p52,1/4/1982,1,Police Officer                                    ,57887.15,7764.57,7764.57,65651.72,1,Police Officer                                    ,58466.02,5934.36,5934.36,64400.38,1,Police Officer                                    ,58466.02,3035.69,3035.69,61501.71,1,Police Officer                                    ,58466.02,1082.17,1082.17,59548.19,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p53,5/7/1982,1,Police Sergeant                                   ,55146.33,6081.56,6081.56,61227.89,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p54,5/19/1982,1,Police Officer                                    ,57887.15,13876.79,13876.79,71763.94,1,Police Officer                                    ,58466.02,9286.35,9286.35,67752.37,1,Police Officer                                    ,58466.02,8748.75,8748.75,67214.77,1,Police Officer                                    ,58466.02,5862.75,5862.75,64328.77,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p55,7/1/1982,1,Police Officer                                    ,57887.15,6176.64,6176.64,64063.79,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
p56,7/2/1982,1,Police Officer                                    ,57887.15,4675.27,4675.27,62562.42,1,Police Officer                                    ,58466.02,1505.48,1505.48,59971.5,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0,1,N/A,0,0,NaN,0
